leak out|The boat was leaking so they had to bail it out.
break away|When the system was so clearly breaking down, Mom and Dad, what did you do, what were you thinking?" So how do you feel when the lights go out on the global economy in your mind, when your assumptions about the future fade away and something very different emerges?
go about|When the system was so clearly breaking down, Mom and Dad, what did you do, what were you thinking?" So how do you feel when the lights go out on the global economy in your mind, when your assumptions about the future fade away and something very different emerges?
light out|When the system was so clearly breaking down, Mom and Dad, what did you do, what were you thinking?" So how do you feel when the lights go out on the global economy in your mind, when your assumptions about the future fade away and something very different emerges?
act on|We need to act like the future depends on it.
big up|We can choose this moment of crisis to ask and answer the big questions of society's evolution -- like, what do we want to be when we grow up, when we move past this bumbling adolescence where we think there are no limits and suffer delusions of immortality?
choose up|We can choose this moment of crisis to ask and answer the big questions of society's evolution -- like, what do we want to be when we grow up, when we move past this bumbling adolescence where we think there are no limits and suffer delusions of immortality?
well up|Well it's time to grow up, to be wiser, to be calmer, to be more considered.
go about|I'm going to speak about a tiny, little idea.
hear about|Now this story, we have heard it lots of times on Galapagos and other places, so there is nothing particular about it.
eat away|They were not eaten, they were thrown away because they were dead.
go about|Now, when I was a boy of about his age, I would go out fishing with my grandfather and we would catch fish about half that size.
be after|If you were to go out there today, 20 years after this fishery collapsed, if you could catch a fish, which would be a bit of a challenge, it would be half that size still.
try back|The census actually tried to look back in time, using every source of information they could get their hands on.
go about|There's a lot of exciting things, and I'm going to tell you a little bit about them.
link up|But through a satellite link I was able to sit at my study at home with my dog curled up at my feet, a cup of tea in my hand, and I could tell the pilot, "I want a sample right there." And that's exactly what the pilot did for me.
send back|And so we can send out sound waves, they bounce off objects like fish and are reflected back.
sound off|And so we can send out sound waves, they bounce off objects like fish and are reflected back.
send back|One would send out sound waves that would bounce back.
leave on|If you were to suck all the water out of the ocean, this is what you'd be left behind with, and that's the biomass of life on the sea floor.
get about|We've got about 75 percent of the fish, maybe as much as 90 percent.
figure on|Now this figure is actually based on a brand new paper that's going to come out in the journal PLoS Biology.
land in|And what is does is predict how many more species there are on land and in the ocean.
leave on|And that's the deep sea, that's the environment that we consider to be among the most pristine left on Earth.
get about|And I could spend the rest of my time, which is getting very limited, going through this litany of concerns about the ocean, but I want to end on a more positive note.
go about|And I could spend the rest of my time, which is getting very limited, going through this litany of concerns about the ocean, but I want to end on a more positive note.
go about|So we're going to talk a little bit today about how videos go viral and then why that even matters.
well up|Well Tosh.0 picked it up, a lot of blogs starting writing about.
part with|Unlike the one-way entertainment of the 20th century, this community participation is how we become a part of the phenomenon -- either by spreading it or by doing something new with it.
see about|When a friend of mine told me that I needed to see this great video about a guy protesting bicycle fines in New York City, I admit I wasn't very interested.
